掲 3747 B7C7 U+63B2
携 3748 B7C8 U+643A
敬 3749 B7C9 U+656C
景 374A B7CA U+666F
渓 374C B7CC U+6E13
稽 374E B7CE U+7A3D
系 374F B7CF U+7CFB
経 3750 B7D0 U+7D4C
継 3751 B7D1 U+7D99
茎 3754 B7D4 U+830E
蛍 3756 B7D6 U+86CD
計 3757 B7D7 U+8A08
詣 3758 B7D8 U+8A63
警 3759 B7D9 U+8B66
軽 375A B7DA U+8EFD
鶏 375C B7DC U+9D8F
芸 375D B7DD U+82B8
迎 375E B7DE U+8FCE
鯨 375F B7DF U+9BE8
劇 3760 B7E0 U+5287
撃 3762 B7E2 U+6483
激 3763 B7E3 U+6FC0
隙 3764 B7E4 U+9699
桁 3765 B7E5 U+6841
傑 3766 B7E6 U+5091
欠 3767 B7E7 U+6B20
決 3768 B7E8 U+6C7A
潔 3769 B7E9 U+6F54
穴 376A B7EA U+7A74
結 376B B7EB U+7D50
血 376C B7EC U+8840
月 376E B7EE U+6708
件 376F B7EF U+4EF6
倹 3770 B7F0 U+5039
健 3772 B7F2 U+5065
兼 3773 B7F3 U+517C
券 3774 B7F4 U+5238
剣 3775 B7F5 U+5263
圏 3777 B7F7 U+570F
堅 3778 B7F8 U+5805
嫌 3779 B7F9 U+5ACC
建 377A B7FA U+5EFA
憲 377B B7FB U+61B2
懸 377C B7FC U+61F8
拳 377D B7FD U+62F3
検 3821 B8A1 U+691C
権 3822 B8A2 U+6A29
犬 3824 B8A4 U+72AC
献 3825 B8A5 U+732E
研 3826 B8A6 U+7814
絹 3828 B8A8 U+7D79
県 3829 B8A9 U+770C
肩 382A B8AA U+80A9
見 382B B8AB U+898B
謙 382C B8AC U+8B19
賢 382D B8AD U+8CE2
軒 382E B8AE U+8ED2
遣 382F B8AF U+9063
鍵 3830 B8B0 U+9375
険 3831 B8B1 U+967A
顕 3832 B8B2 U+9855
験 3833 B8B3 U+9A13
元 3835 B8B5 U+5143
原 3836 B8B6 U+539F
厳 3837 B8B7 U+53B3
幻 3838 B8B8 U+5E7B
弦 3839 B8B9 U+5F26
減 383A B8BA U+6E1B
源 383B B8BB U+6E90
玄 383C B8BC U+7384
現 383D B8BD U+73FE
舷 383F B8BF U+8237
言 3840 B8C0 U+8A00
限 3842 B8C2 U+9650
個 3844 B8C4 U+500B
古 3845 B8C5 U+53E4
呼 3846 B8C6 U+547C
固 3847 B8C7 U+56FA
孤 3849 B8C9 U+5B64
己 384A B8CA U+5DF1
庫 384B B8CB U+5EAB
弧 384C B8CC U+5F27
戸 384D B8CD U+6238
故 384E B8CE U+6545
枯 384F B8CF U+67AF
湖 3850 B8D0 U+6E56
股 3854 B8D4 U+80A1
虎 3857 B8D7 U+864E
誇 3858 B8D8 U+8A87
雇 385B B8DB U+96C7
顧 385C B8DC U+9867
鼓 385D B8DD U+9F13
五 385E B8DE U+4E94
互 385F B8DF U+4E92
午 3861 B8E1 U+5348
呉 3862 B8E2 U+5449
娯 3864 B8E4 U+5A2F
後 3865 B8E5 U+5F8C
御 3866 B8E6 U+5FA1
悟 3867 B8E7 U+609F
碁 386B B8EB U+7881
語 386C B8EC U+8A9E
誤 386D B8ED U+8AA4
護 386E B8EE U+8B77
乞 3870 B8F0 U+4E5E
交 3872 B8F2 U+4EA4
侯 3874 B8F4 U+4FAF
候 3875 B8F5 U+5019
光 3877 B8F7 U+5149
公 3878 B8F8 U+516C
功 3879 B8F9 U+529F
効 387A B8FA U+52B9
勾 387B B8FB U+52FE
厚 387C B8FC U+539A
口 387D B8FD U+53E3
向 387E B8FE U+5411
后 3921 B9A1 U+540E
喉 3922 B9A2 U+5589
坑 3923 B9A3 U+5751
好 3925 B9A5 U+597D
孔 3926 B9A6 U+5B54
孝 3927 B9A7 U+5B5D
工 3929 B9A9 U+5DE5
巧 392A B9AA U+5DE7
幸 392C B9AC U+5E78
広 392D B9AD U+5E83
康 392F B9AF U+5EB7
恒 3931 B9B1 U+6052
慌 3932 B9B2 U+614C
抗 3933 B9B3 U+6297
拘 3934 B9B4 U+62D8
控 3935 B9B5 U+63A7
攻 3936 B9B6 U+653B
更 3939 B9B9 U+66F4
校 393B B9BB U+6821
梗 393C B9BC U+6897
構 393D B9BD U+69CB
江 393E B9BE U+6C5F
洪 393F B9BF U+6D2A
港 3941 B9C1 U+6E2F
溝 3942 B9C2 U+6E9D
甲 3943 B9C3 U+7532
皇 3944 B9C4 U+7687
硬 3945 B9C5 U+786C
稿 3946 B9C6 U+7A3F
紅 3948 B9C8 U+7D05
絞 394A B9CA U+7D5E
綱 394B B9CB U+7DB1
耕 394C B9CC U+8015
考 394D B9CD U+8003
肯 394E B9CE U+80AF
航 3952 B9D2 U+822A
荒 3953 B9D3 U+8352
行 3954 B9D4 U+884C
衡 3955 B9D5 U+8861
講 3956 B9D6 U+8B1B
貢 3957 B9D7 U+8CA2
購 3958 B9D8 U+8CFC
郊 3959 B9D9 U+90CA
酵 395A B9DA U+9175
鉱 395B B9DB U+9271
鋼 395D B9DD U+92FC
降 395F B9DF U+964D
項 3960 B9E0 U+9805
香 3961 B9E1 U+9999
高 3962 B9E2 U+9AD8
剛 3964 B9E4 U+525B
号 3966 B9E6 U+53F7
合 3967 B9E7 U+5408
拷 3969 B9E9 U+62F7
豪 396B B9EB U+8C6A
克 396E B9EE U+514B
刻 396F B9EF U+523B
告 3970 B9F0 U+544A
国 3971 B9F1 U+56FD
穀 3972 B9F2 U+7A40
酷 3973 B9F3 U+9177
黒 3975 B9F5 U+9ED2
獄 3976 B9F6 U+7344
腰 3978 B9F8 U+8170
骨 397C B9FC U+9AA8
込 397E B9FE U+8FBC
頃 3A22 BAA2 U+9803
今 3A23 BAA3 U+4ECA
困 3A24 BAA4 U+56F0
墾 3A26 BAA6 U+58BE
婚 3A27 BAA7 U+5A5A
恨 3A28 BAA8 U+6068
懇 3A29 BAA9 U+61C7
昆 3A2B BAAB U+6606
根 3A2C BAAC U+6839
混 3A2E BAAE U+6DF7
痕 3A2F BAAF U+75D5
紺 3A30 BAB0 U+7D3A
魂 3A32 BAB2 U+9B42
佐 3A34 BAB4 U+4F50
唆 3A36 BAB6 U+5506
左 3A38 BAB8 U+5DE6
差 3A39 BAB9 U+5DEE
査 3A3A BABA U+67FB
沙 3A3B BABB U+6C99
砂 3A3D BABD U+7802
詐 3A3E BABE U+8A50
鎖 3A3F BABF U+9396
座 3A42 BAC2 U+5EA7
挫 3A43 BAC3 U+632B
債 3A44 BAC4 U+50B5
催 3A45 BAC5 U+50AC
再 3A46 BAC6 U+518D
最 3A47 BAC7 U+6700
塞 3A49 BAC9 U+585E
妻 3A4A BACA U+59BB
宰 3A4B BACB U+5BB0
彩 3A4C BACC U+5F69
才 3A4D BACD U+624D
採 3A4E BACE U+63A1
栽 3A4F BACF U+683D
歳 3A50 BAD0 U+6B73
済 3A51 BAD1 U+6E08
災 3A52 BAD2 U+707D
采 3A53 BAD3 U+91C7
砕 3A55 BAD5 U+7815
祭 3A57 BAD7 U+796D
斎 3A58 BAD8 U+658E
細 3A59 BAD9 U+7D30
菜 3A5A BADA U+83DC
裁 3A5B BADB U+88C1
載 3A5C BADC U+8F09
際 3A5D BADD U+969B
剤 3A5E BADE U+5264
在 3A5F BADF U+5728
材 3A60 BAE0 U+6750
罪 3A61 BAE1 U+7F6A
財 3A62 BAE2 U+8CA1
坂 3A64 BAE4 U+5742
阪 3A65 BAE5 U+962A
咲 3A69 BAE9 U+54B2
崎 3A6A BAEA U+5D0E
埼 3A6B BAEB U+57FC
作 3A6E BAEE U+4F5C
削 3A6F BAEF U+524A
搾 3A71 BAF1 U+643E
昨 3A72 BAF2 U+6628
柵 3A74 BAF4 U+67F5
策 3A76 BAF6 U+7B56
索 3A77 BAF7 U+7D22
錯 3A78 BAF8 U+932F
桜 3A79 BAF9 U+685C
冊 3A7D BAFD U+518A
刷 3A7E BAFE U+5237
察 3B21 BBA1 U+5BDF
拶 3B22 BBA2 U+62F6
撮 3B23 BBA3 U+64AE
擦 3B24 BBA4 U+64E6
札 3B25 BBA5 U+672D
殺 3B26 BBA6 U+6BBA
雑 3B28 BBA8 U+96D1
皿 3B2E BBAE U+76BF
三 3B30 BBB0 U+4E09
傘 3B31 BBB1 U+5098
参 3B32 BBB2 U+53C2
山 3B33 BBB3 U+5C71
惨 3B34 BBB4 U+60E8
散 3B36 BBB6 U+6563
桟 3B37 BBB7 U+685F
産 3B3A BBBA U+7523
算 3B3B BBBB U+7B97
蚕 3B3D BBBD U+8695
賛 3B3F BBBF U+8CDB
酸 3B40 BBC0 U+9178
斬 3B42 BBC2 U+65AC
暫 3B43 BBC3 U+66AB
残 3B44 BBC4 U+6B8B
仕 3B45 BBC5 U+4ED5
伺 3B47 BBC7 U+4F3A
使 3B48 BBC8 U+4F7F
刺 3B49 BBC9 U+523A
司 3B4A BBCA U+53F8
史 3B4B BBCB U+53F2
嗣 3B4C BBCC U+55E3
四 3B4D BBCD U+56DB
士 3B4E BBCE U+58EB
始 3B4F BBCF U+59CB
姉 3B50 BBD0 U+59C9
姿 3B51 BBD1 U+59FF
子 3B52 BBD2 U+5B50
市 3B54 BBD4 U+5E02
師 3B55 BBD5 U+5E2B
志 3B56 BBD6 U+5FD7
思 3B57 BBD7 U+601D
指 3B58 BBD8 U+6307
支 3B59 BBD9 U+652F
施 3B5C BBDC U+65BD
旨 3B5D BBDD U+65E8
枝 3B5E BBDE U+679D
止 3B5F BBDF U+6B62
死 3B60 BBE0 U+6B7B
氏 3B61 BBE1 U+6C0F
祉 3B63 BBE3 U+7949
私 3B64 BBE4 U+79C1
糸 3B65 BBE5 U+7CF8
紙 3B66 BBE6 U+7D19
紫 3B67 BBE7 U+7D2B
肢 3B68 BBE8 U+80A2
脂 3B69 BBE9 U+8102
至 3B6A BBEA U+81F3
視 3B6B BBEB U+8996
詞 3B6C BBEC U+8A5E
詩 3B6D BBED U+8A69
試 3B6E BBEE U+8A66
誌 3B6F BBEF U+8A8C
諮 3B70 BBF0 U+8AEE
資 3B71 BBF1 U+8CC7
賜 3B72 BBF2 U+8CDC
雌 3B73 BBF3 U+96CC
飼 3B74 BBF4 U+98FC
歯 3B75 BBF5 U+6B6F
事 3B76 BBF6 U+4E8B
似 3B77 BBF7 U+4F3C
侍 3B78 BBF8 U+4F8D
児 3B79 BBF9 U+5150
字 3B7A BBFA U+5B57
寺 3B7B BBFB U+5BFA
慈 3B7C BBFC U+6148
持 3B7D BBFD U+6301
時 3B7E BBFE U+6642
次 3C21 BCA1 U+6B21
滋 3C22 BCA2 U+6ECB
治 3C23 BCA3 U+6CBB
璽 3C25 BCA5 U+74BD
磁 3C27 BCA7 U+78C1
示 3C28 BCA8 U+793A
